Gene,Inheritance
AKT2,"AD (Diabetes mellitus, type II); AD (Hypoinsulinemic hypoglycemia with hemihypertrophy); AD ({Maturity-onset diabetes of the young, type 14}); Breast cancer, somatic; Colorectal cancer, somatic; AD (Cowden syndrome 6); Ovarian cancer, somatic; Proteus syndrome, somatic mosaic; AD (Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2)",
AKT3,"AD (Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2); AD (Buratti-Harel syndrome); Breast cancer, somatic; Cerebral cavernous malformations 4, somatic; CLAPO syndrome, somatic; CLOVE syndrome, somatic; Colorectal cancer, somatic; Cowden syndrome 5; Gastric cancer, somatic; Hemifacial myohyperplasia, somatic; Hepatocellular carcinoma, somatic; Keratosis, seborrheic, somatic; Macrodactyly, somatic; Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic; Nevus, epidermal, somatic mosaic; Nonsmall cell lung cancer, somatic; Ovarian cancer, somatic; AD (Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1)",
AKTIP,"AR (Spastic paraplegia 50, autosomal recessive)",
ALAD,"AR ({Lead poisoning, susceptibility to}); AR (Porphyria, acute hepatic); AR (Coproporphyria); AR (Harderoporphyria); AR (Porphyria cutanea tarda); AR (Porphyria, hepatoerythropoietic)",
ALAS1,"AD (?Protoporphyria, erythropoietic, 2); Anemia, sideroblastic, 1; Protoporphyria, erythropoietic, X-linked; AR (Encephalopathy, porphyria-related); AR (Leukoencephalopathy, porphyria-related); AD (Porphyria, acute intermittent); AD (Porphyria, acute intermittent, nonerythroid variant); AD (?Advanced sleep phase syndrome, familial, 1)",
ALAS2,"Anemia, sideroblastic, 1; Protoporphyria, erythropoietic, X-linked; AR (Anemia, sideroblastic, 3, pyridoxine-refractory); AR (Spasticity, childhood-onset, with hyperglycinemia); AD (?Protoporphyria, erythropoietic, 2); AD (Dementia, Lewy body); AD (Parkinson disease 1); AD (Parkinson disease 4)",
ALB,AR (?[Dysalbuminemic hypertriiodothyroninemia]); AR ([Dysalbuminemic hyperthyroxinemia]); AR (Analbuminemia); AD ([Hereditary persistence of alpha-fetoprotein]); AR (Alpha-fetoprotein deficiency),
ALDH16A1,"AR (Mast syndrome); [Uric acid concentration, serum, QTL5]; [Uric acid concentration, serum, QTL6]",
ALDH18A1,"AD (Cutis laxa, autosomal dominant 3); AR (Cutis laxa, autosomal recessive, type IIIA); AD (Spastic paraplegia 9A, autosomal dominant); AR (Spastic paraplegia 9B, autosomal recessive)",
ALDH1A1,"{Esophageal cancer, alcohol-related, susceptibility to}; AD ({Hangover, susceptibility to}); {Sublingual nitroglycerin, susceptibility to poor response to}; AD (Alcohol sensitivity, acute); AR (Charcot-Marie-Tooth disease, axonal, type 2S); AR (Neuronopathy, distal hereditary motor, autosomal recessive 1); AR (Arterial tortuosity syndrome)",
ALDH1A2,"AR (Diaphragmatic hernia 4, with cardiovascular defects); Diaphragmatic hernia 1; AD ({Colorectal cancer, susceptibility to}); AD ({Leprosy, susceptibility to}); {Mycobacterium tuberculosis, susceptibility to}; ?Brachydactyly-syndactyly syndrome; AD (Brachydactyly, type D); AD (Brachydactyly, type E); AD (Syndactyly, type V); AD (Synpolydactyly 1); {Aspergillosis, susceptibility to}; AR (Candidiasis, familial, 4, autosomal recessive)",
ALDH1A3,"AR (Microphthalmia, isolated 8); AR (Microphthalmia, isolated 1)",
ALDH2,"{Esophageal cancer, alcohol-related, susceptibility to}; AD ({Hangover, susceptibility to}); {Sublingual nitroglycerin, susceptibility to poor response to}; AD (Alcohol sensitivity, acute); AD (Silver-Russell syndrome 5); {Aerodigestive tract cancer, squamous cell, alcohol-related, protection against}; {Alcohol dependence, protection against}; AMED syndrome, digenic; AR (Fanconi anemia, complementation group D2); {Alcohol dependence, protection against}; AD ({Parkinson disease, susceptibility to})",
ALDH3A2,AR (Sjogren-Larsson syndrome),
ALDH4A1,"AR (Hyperprolinemia, type II)",
ALDH5A1,AR (Succinic semialdehyde dehydrogenase deficiency),
ALDH6A1,AR (Methylmalonate semialdehyde dehydrogenase deficiency),
ALDH7A1,"AR (Epilepsy, early-onset, 4, vitamin B6-dependent); AD (Leukodystrophy, demyelinating, adult-onset, autosomal dominant, atypical); AD (Microcephaly 26, primary, autosomal dominant); AD (Leukodystrophy, demyelinating, adult-onset, autosomal dominant, typical)",
ALDOA,"AR (Glycogen storage disease XII); AR (Fructose intolerance, hereditary)",
ALDOB,"AR (Fructose intolerance, hereditary); AR (Glycogen storage disease XII); AD ({Diabetes mellitus, noninsulin-dependent}); AD (Fanconi renotubular syndrome 4, with maturity-onset diabetes of the young); AD (MODY, type I); AR (Xeroderma pigmentosum, group A); AR (Hypercholanemia, familial 3)",
ALDOC,"AR (Glycogen storage disease XII); AR (Fructose intolerance, hereditary)",
ALG1,"AR (Congenital disorder of glycosylation, type Ik); AD (Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures)",
ALG10,"AD ({Long QT syndrome, acquired, reduced susceptibility to})",
ALG10B,"AD ({Long QT syndrome, acquired, reduced susceptibility to})",
ALG11,"AR (Congenital disorder of glycosylation, type Ip); AR (Congenital disorder of glycosylation, type In)",
ALG12,"AR (Congenital disorder of glycosylation, type Ig)",
ALG13,"Developmental and epileptic encephalopathy 36; AR (?Myasthenic syndrome, congenital, 15, without tubular aggregates); AR (Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies); AR (Myopathy, epilepsy, and progressive cerebral atrophy)",
ALG14,"AR (?Myasthenic syndrome, congenital, 15, without tubular aggregates); AR (Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies); AR (Myopathy, epilepsy, and progressive cerebral atrophy); Developmental and epileptic encephalopathy 36; AD (Pituitary adenoma 1, multiple types); AD (Pituitary adenoma predisposition); AR (Congenital disorder of glycosylation, type Ii); AR (Myasthenic syndrome, congenital, 14, with tubular aggregates)",
ALG2,"AR (Congenital disorder of glycosylation, type Ii); AR (Myasthenic syndrome, congenital, 14, with tubular aggregates); AR (?Microcephaly 29, primary, autosomal recessive); AD (Alzheimer disease-4); AD (Cardiomyopathy, dilated, 1V)",
ALG3,"AR (Congenital disorder of glycosylation, type Id); AD (Alzheimer disease-4); AD (Cardiomyopathy, dilated, 1V)",
ALG5,AD (Polycystic kidney disease 7),
ALG6,"AR (Congenital disorder of glycosylation, type Ic); AD (Bosch-Boonstra-Schaaf optic atrophy syndrome); AR (Congenital disorder of glycosylation, type Ia); AR (?Congenital disorder of glycosylation, type 1bb); AD (Developmental delay and seizures with or without movement abnormalities); AR (Retinitis pigmentosa 59); Omphalocele due to duplication of 1p31.3; AD (Polycystic kidney disease 7)",
ALG8,"AR (Congenital disorder of glycosylation, type Ih); AD (Polycystic liver disease 3 with or without kidney cysts); AR (Congenital disorder of glycosylation, type Ic)",
ALG9,"AR (Congenital disorder of glycosylation, type Il); AR (Gillessen-Kaesbach-Nishimura syndrome)",
ALK,"{Neuroblastoma, susceptibility to, 3}; AR ({Moyamoya disease 2, susceptibility to}); AD (Intellectual developmental disorder, autosomal dominant 56); Leukemia, acute myeloid, somatic; AR (Microcephaly, developmental delay, and brittle hair syndrome)",
ALKBH1,"AR (Intellectual developmental disorder, autosomal recessive 71); AR (Combined oxidative phosphorylation deficiency 48)",
ALKBH5,AR (Oxoglutarate dehydrogenase deficiency),
ALKBH8,"AR (Intellectual developmental disorder, autosomal recessive 71)",
ALMS1,"AR (Alstrom syndrome); AR (Seckel syndrome 11); AD (Brugada syndrome 3); AD (Long QT syndrome 8); AD (Neurodevelopmental disorder with hypotonia, language delay, and skeletal defects with or without seizures); AD (Timothy syndrome); AR (Achromatopsia 2); AD (Deafness, autosomal dominant 11); AR (Deafness, autosomal recessive 2); AR (Usher syndrome, type 1B)",
ALOX12,"AR (Ichthyosis, congenital, autosomal recessive 2)",
ALOX12B,"AR (Ichthyosis, congenital, autosomal recessive 2); AR (Ichthyosis, congenital, autosomal recessive 3); AR (Ichthyosis, congenital, autosomal recessive 9); AR (Ichthyosis, congenital, autosomal recessive 1)",
ALOX15,"{Crohn disease-associated growth failure}; {Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to}; AD ({Kaposi sarcoma in HIV+, susceptibility to}); {Rheumatoid arthritis, systemic juvenile}; AR ({Type 1 diabetes mellitus}); AD ({Type 2 diabetes mellitus}); AR (Obesity, morbid, due to leptin deficiency)",
ALOX15B,"AR (Ichthyosis, congenital, autosomal recessive 3); AR (Ichthyosis, congenital, autosomal recessive 2)",
ALOX5,"AD ({Asthma, diminished response to antileukotriene treatment in}); {Atherosclerosis, susceptibility to}; AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); GLOW syndrome, somatic mosaic; AD (Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors); AD (Pleuropulmonary blastoma); Rhabdomyosarcoma, embryonal, 2; {Myocardial infarction, susceptibility to, 2}",
ALOX5AP,"{Stroke, susceptibility to}; {Myocardial infarction, susceptibility to, 2}; AD ({Asthma, diminished response to antileukotriene treatment in}); {Atherosclerosis, susceptibility to}",
ALOXE3,"AR (Ichthyosis, congenital, autosomal recessive 3); AR (Ichthyosis, congenital, autosomal recessive 2); AR (Ichthyosis, congenital, autosomal recessive 9); AR (Ichthyosis, congenital, autosomal recessive 1); AR (Spondylocostal dysostosis 4, autosomal recessive)",
ALPI,"AR (Hypophosphatasia, adult); AR (Hypophosphatasia, childhood); AR (Hypophosphatasia, infantile); AR (Odontohypophosphatasia); AD ({Alkaline phosphatase, plasma level of, QTL1}); AR (Immunodeficiency due to defect in MAPBP-interacting protein); Trichothiodystrophy 5, nonphotosensitive",
ALPK1,"AD (ROSAH syndrome); AR (Cardiomyopathy, familial hypertrophic 27)",
ALPK2,"AR (Cardiomyopathy, familial hypertrophic 27); AD (ROSAH syndrome)",
ALPK3,"AR (Cardiomyopathy, familial hypertrophic 27); AD (ROSAH syndrome); AD (Cardiomyopathy, hypertrophic, 10); AR (Myopathy, myofibrillar, 12, infantile-onset, with cardiomyopathy)",
ALPL,"AR (Hypophosphatasia, adult); AR (Hypophosphatasia, childhood); AR (Hypophosphatasia, infantile); AR (Odontohypophosphatasia); {Alkaline phosphatase, plasma level of, QTL 2}; {Vitamin B6 plasma level QTL 1}; AD ({Epilepsy, idiopathic generalized, susceptibility to, 12}); AD (Dystonia 9); AR (GLUT1 deficiency syndrome 1, infantile onset, severe); AD (GLUT1 deficiency syndrome 2, childhood onset); AD (Stomatin-deficient cryohydrocytosis with neurologic defects); AR (Lichtenstein-Knorr syndrome); AD (Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development); AD (Developmental and epileptic encephalopathy 91)",
ALPP,"AD ({Alkaline phosphatase, plasma level of, QTL1}); AR (Hypophosphatasia, adult); AR (Hypophosphatasia, childhood); AR (Hypophosphatasia, infantile); AR (Odontohypophosphatasia); AR (Nephrotic syndrome, type 21); AD (Craniofacial-deafness-hand syndrome); Rhabdomyosarcoma 2, alveolar; AD (Waardenburg syndrome, type 1); AR (Waardenburg syndrome, type 3)",
ALS2,"AR (Amyotrophic lateral sclerosis 2, juvenile); AR (Primary lateral sclerosis, juvenile); AR (Spastic paralysis, infantile onset ascending); AR (Joubert syndrome 14)",
ALX1,AR (Frontonasal dysplasia 3),
ALX3,"AR (Frontonasal dysplasia 1); AR (Intellectual developmental disorder, autosomal recessive 4)",
ALX4,"AD ({Craniosynostosis 5, susceptibility to}); AR (Frontonasal dysplasia 2); AD (Parietal foramina 2); AD (Potocki-Shaffer syndrome); AD (Craniosynostosis 2); AD (Parietal foramina 1); AD (Parietal foramina with cleidocranial dysplasia); AR (Frontonasal dysplasia 1)",
ALYREF,"?Intellectual developmental disorder, X-linked syndromic, Gustavson type; ?Intellectual developmental disorder, X-linked syndromic, Shashi type",
AMACR,"AR (Alpha-methylacyl-CoA racemase deficiency); AR (Bile acid synthesis defect, congenital, 4)",
AMBN,"AR (Amelogenesis imperfecta, type IF); Amelogenesis imperfecta, type 1E; AD (Amelogenesis imperfecta, type IK); AD (?Amelogenesis imperfecta, type IIIB); AD (Amelogenesis imperfecta, type IB); AR (Amelogenesis imperfecta, type IC)",
AMBP,"AR (Fructose intolerance, hereditary); AD (Anterior segment dysgenesis 4); AD (Axenfeld-Rieger syndrome, type 1); AD (Ring dermoid of cornea)",
AMD1,"AR (Acromesomelic dysplasia 1, Maroteaux type); AD (Epiphyseal chondrodysplasia, Miura type); AD (Short stature with nonspecific skeletal abnormalities); AD (Faundes-Banka syndrome); AR (?Spastic paraplegia 63, autosomal recessive); AR (Pontocerebellar hypoplasia, type 9)",
AMDHD1,"{Leukemia, acute lymphocytic, susceptibility to, 1}",
AMELX,"Amelogenesis imperfecta, type 1E; AR (Amelogenesis imperfecta, type IIA3); AD (?Amelogenesis imperfecta, type IIIB); AD (Anterior segment dysgenesis 4); AD (Axenfeld-Rieger syndrome, type 1); AD (Ring dermoid of cornea)",
AMER1,"Osteopathia striata with cranial sclerosis; AD ({Uveal melanoma, susceptibility to, 1}); AR (Tumor predisposition syndrome 2)",
AMER2,Osteopathia striata with cranial sclerosis,
AMFR,"AR (Spastic paraplegia 89, autosomal recessive); AR (Emphysema due to AAT deficiency); AR (Emphysema-cirrhosis, due to AAT deficiency); AR (Hemorrhagic diathesis due to antithrombin Pittsburgh); AR (Anemia, congenital, nonspherocytic hemolytic, 4, glucose phosphate isomerase deficient); AD (Charcot-Marie-Tooth disease, type 2Y); AD (Frontotemporal dementia and/or amyotrophic lateral sclerosis 6); AD (Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1); AR (Neurodevelopmental disorder with epilepsy and hypoplasia of the corpus callosum)",
AMH,"AR (Persistent Mullerian duct syndrome, type I); AR (Persistent Mullerian duct syndrome, type II); AD (46XY sex reversal 9); Diaphragmatic hernia 3; AD (Tetralogy of Fallot); AD (46XX sex reversal 4); AD (46XY sex reversal 3); AD (Adrenocortical insufficiency); AD (Premature ovarian failure 7); AD (Spermatogenic failure 8); AD (?Testicular anomalies with or without congenital heart disease); AD (Atrial septal defect 2); AD (Atrioventricular septal defect 4); AD (Tetralogy of Fallot); AD (Ventricular septal defect 1); AR (Hypogonadotropic hypogonadism 24 without anosmia)",
AMHR2,"AR (Persistent Mullerian duct syndrome, type II); AR (Persistent Mullerian duct syndrome, type I); Polyposis syndrome, hereditary mixed, 2; AD (Polyposis, juvenile intestinal)",
AMIGO3,"AR (Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14); AR (Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 14); AR (Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14)",
AMMECR1,"Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis; AMME complex; Intellectual developmental disorder, X-linked 63",
AMN,"AR (Imerslund-Grasbeck syndrome 2); Adrenoleukodystrophy; Adrenomyeloneuropathy, adult; AR ([Proteinuria, chronic benign]); AR (Imerslund-Grasbeck syndrome 1); AR (Methylmalonic aciduria and homocystinuria, cblJ type); AR (Intrinsic factor deficiency)",
AMOT,AD (Takenouchi-Kosaki syndrome); AD (Craniofaciocardiohepatic syndrome),
AMOTL1,AD (Craniofaciocardiohepatic syndrome),
AMOTL2,AD (Craniofaciocardiohepatic syndrome),
AMPD1,"AR (Myopathy due to myoadenylate deaminase deficiency); AR (?Spastic paraplegia 63, autosomal recessive); AR (Pontocerebellar hypoplasia, type 9); AR ([AMP deaminase deficiency, erythrocytic]); AR (Glycogen storage disease VII)",
AMPD2,"AR (?Spastic paraplegia 63, autosomal recessive); AR (Pontocerebellar hypoplasia, type 9); AR (Myopathy due to myoadenylate deaminase deficiency); AR ([AMP deaminase deficiency, erythrocytic]); AD (Auriculocondylar syndrome 1)",
AMPD3,"AR ([AMP deaminase deficiency, erythrocytic]); AR (?Spastic paraplegia 63, autosomal recessive); AR (Pontocerebellar hypoplasia, type 9); AR (Myopathy due to myoadenylate deaminase deficiency)",
AMPH,"AR (Centronuclear myopathy 2); AR (Developmental and epileptic encephalopathy 53); AR (Parkinson disease 20, early-onset)",
AMT,"AR (Glycine encephalopathy 2); AR (Glycine encephalopathy1); AR (Anemia, hemolytic, Rh-null, regulator type); AD (Overhydrated hereditary stomatocytosis); AR (D-glyceric aciduria)",
AMTN,"AD (?Amelogenesis imperfecta, type IIIB)",
AMY2B,"AR (Neuropathy, hereditary sensory and autonomic, type V); ?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic; Colorectal cancer, somatic; Epidermal nevus, somatic; Melanocytic nevus syndrome, congenital, somatic; Neurocutaneous melanosis, somatic; AD (Noonan syndrome 6); Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic; Thyroid carcinoma, follicular, somatic; AR (Hypothyroidism, congenital, nongoitrous 4)",
ANAPC1,"AR (Rothmund-Thomson syndrome, type 1); AD (Developmental and epileptic encephalopathy 72); AR (Rothmund-Thomson syndrome, type 3); AR (Microcephaly 14, primary, autosomal recessive)",
ANAPC10,AR (Oocyte/zygote/embryo maturation arrest 12); AR (Spermatogenic failure 64),
ANAPC2,AD (Developmental and epileptic encephalopathy 109); AR (Oocyte/zygote/embryo maturation arrest 12); AR (Spermatogenic failure 64),
ANAPC7,AR (Ferguson-Bonni neurodevelopmental syndrome),
ANG,"Amyotrophic lateral sclerosis 9; AR (Erythrocytosis, familial, 2); Hemangioblastoma, cerebellar, somatic; AD (Pheochromocytoma); Renal cell carcinoma, somatic; AD (von Hippel-Lindau syndrome); AR (Renal tubular dysgenesis); AR (Leukodystrophy, hypomyelinating, 4); AD (Spastic paraplegia 13, autosomal dominant); Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia; AD (Essential tremor, hereditary, 4)",
ANGPT1,"AD (?Angioedema, hereditary, 5); AD (Lymphatic malformation 10); {Microvascular complications of diabetes 1}; AD (Lymphatic malformation 11); AD (?Bleeding disorder, vascular-type)",
ANGPT2,"AD (Lymphatic malformation 10); AD (?Angioedema, hereditary, 5); {Microvascular complications of diabetes 1}; AD (?Bleeding disorder, vascular-type); AR (Microcephaly 1, primary, autosomal recessive)",
ANGPT4,"AD (?Angioedema, hereditary, 5); AD (Lymphatic malformation 10); AR (Hypobetalipoproteinemia, familial, 2)",
ANGPTL2,"AR (Hypobetalipoproteinemia, familial, 2)",
ANGPTL3,"AR (Hypobetalipoproteinemia, familial, 2); AD (Plasma triglyceride level QTL, low); AR (Congenital disorder of glycosylation, type IIt)",
ANGPTL4,"AD (Plasma triglyceride level QTL, low)",
ANGPTL5,"AD (Plasma triglyceride level QTL, low); AR (Hypobetalipoproteinemia, familial, 2)",
ANGPTL6,"AD (Plasma triglyceride level QTL, low); AR (Hypobetalipoproteinemia, familial, 2)",
ANGPTL7,"AD (Plasma triglyceride level QTL, low)",
ANGPTL8,"AR (Hypobetalipoproteinemia, familial, 2)",
ANK1,"AR (Spherocytosis, type 1); AD (Spinocerebellar ataxia 5); AR (Spinocerebellar ataxia, autosomal recessive 14); AR (Intellectual developmental disorder, autosomal recessive 37); AD (?Episodic pain syndrome, familial, 1)",
ANK2,"AD (Cardiac arrhythmia, ankyrin-B-related); AD (Long QT syndrome 4); AR (Intellectual developmental disorder, autosomal recessive 37); AD (Developmental delay, impaired speech, and behavioral abnormalities); AR (Neurodevelopmental disorder with neuromuscular and skeletal abnormalities); AD (?Avascular necrosis of femoral head, primary, 2); [Sodium serum level QTL 1]; AD (Brachyolmia type 3); AD (Digital arthropathy-brachydactyly, familial); AD (Hereditary motor and sensory neuropathy, type IIc); AD (Metatropic dysplasia); AD (Neuronopathy, distal hereditary motor, autosomal dominant 8); AD (Parastremmatic dwarfism); AD (Scapuloperoneal spinal muscular atrophy); AD (SED, Maroteaux type); AD (Spondylometaphyseal dysplasia, Kozlowski type)",
ANK3,"AR (Intellectual developmental disorder, autosomal recessive 37); AR (Congenital disorder of glycosylation, type Il); AR (Gillessen-Kaesbach-Nishimura syndrome); AR (Neurodevelopmental disorder with hypotonia, neuropathy, and deafness); AD ({Major affective disorder 1}); {Major affective disorder-8, susceptibility to}; AD (Cardiac arrhythmia, ankyrin-B-related); AD (Long QT syndrome 4)",
ANKFY1,AR (?Autoimmune disease with susceptibility to mycobacterium tuberculosis),
ANKH,AD (Chondrocalcinosis 2); AD (Craniometaphyseal dysplasia),
ANKLE2,"AR (Microcephaly 16, primary, autosomal recessive); AR (Nestor-Guillermo progeria syndrome); AR (Microcephaly 10, primary, autosomal recessive)",
ANKRD1,"AD (Cardiomyopathy, dilated, 1KK); AD (Cardiomyopathy, familial restrictive, 4); AD (Cardiomyopathy, hypertrophic, 22); AR (Congenital myopathy 24)",
ANKRD11,"AD (KBG syndrome); AD ({ACTH-independent macronodular adrenal hyperplasia 3}); AD (Cleft palate, psychomotor retardation, and distinctive facial features); AD (Williams-Beuren syndrome); AD (Erythermalgia, primary); AR (Insensitivity to pain, congenital); AR (Neuropathy, hereditary sensory and autonomic, type IID); AD (Paroxysmal extreme pain disorder); AD (Small fiber neuropathy); AD (Chromosome 7q11.23 duplication syndrome)",
ANKRD16,"AD (?Leukoencephalopathy, hereditary diffuse, with spheroids 2); AD (Charcot-Marie-Tooth disease, axonal, type 2N); AR (Developmental and epileptic encephalopathy 29); AR (Trichothiodystrophy 8, nonphotosensitive)",
ANKRD17,AD (Chopra-Amiel-Gordon syndrome),
ANKRD2,"AR (Intellectual developmental disorder with autism and dysmorphic facies); AR (Arthrogryposis multiplex congenita 6); AR (Nemaline myopathy 2, autosomal recessive)",
ANKRD26,AD (Thrombocytopenia 2); AR (Retinal dystrophy with leukodystrophy),
ANKRD30B,AD (Williams-Beuren syndrome); AD (Chromosome 7q11.23 duplication syndrome),
ANKRD31,AR (Oocyte/zygote/embryo maturation arrest 10),
ANKRD34A,"AR (Short stature, oligodontia, dysmorphic facies, and motor delay)",
ANKRD52,AD (Lessel-Kreienkamp syndrome),
ANKS3,AR (Nephronophthisis 16),
ANKS6,"AR (Nephronophthisis 16); ?Nephronophthisis 9; AD (Polycystic kidney disease 8); AR (Renal-hepatic-pancreatic dysplasia 2); AR (Nephronophthisis 2, infantile); AR (Meckel syndrome 7); AR (Nephronophthisis 3); AR (Renal-hepatic-pancreatic dysplasia 1)",
ANKZF1,"AD (Charcot-Marie-Tooth disease, type 2Y); AD (Frontotemporal dementia and/or amyotrophic lateral sclerosis 6); AD (Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1)",
ANLN,"AD (Focal segmental glomerulosclerosis 8); AR (Anemia, congenital dyserythropoietic, type IIIb, autosomal recessive)",
ANO1,"AR (?Intestinal dysmotility syndrome); AR (Moyamoya disease 7); AD (Gnathodiaphyseal dysplasia); AR (Miyoshi muscular dystrophy 3); AR (Muscular dystrophy, limb-girdle, autosomal recessive 12); AD (Otodental dysplasia chromosome deletion syndrome); AR (Moyamoya disease); AD (Dystonia 24)",
ANO10,"AR (Spinocerebellar ataxia, autosomal recessive 10)",
ANO3,AD (Dystonia 24),
ANO5,"AD (Gnathodiaphyseal dysplasia); AR (Miyoshi muscular dystrophy 3); AR (Muscular dystrophy, limb-girdle, autosomal recessive 12)",
ANO6,"AR (Scott syndrome); AD (Gnathodiaphyseal dysplasia); AR (Miyoshi muscular dystrophy 3); AR (Muscular dystrophy, limb-girdle, autosomal recessive 12)",
ANOS1,Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1),
ANP32D,"{Chronic mountain sickness, susceptibility to}",
ANP32E,"AD (Neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities)",
ANPEP,"AD (?Spinocerebellar ataxia 43); AR (Charcot-Marie-Tooth disease, axonal, type 2T)",
ANTXR1,"AD ({?Hemangioma, capillary infantile, susceptibility to}); AR (GAPO syndrome); AR (Hyaline fibromatosis syndrome); AD ({Hemangioma, capillary infantile, susceptibility to}); Hemangioma, capillary infantile, somatic; AD ({Coronary artery disease, autosomal dominant, 2}); AD (Tooth agenesis, selective, 7)",
ANTXR2,"AR (Hyaline fibromatosis syndrome); AD ({?Hemangioma, capillary infantile, susceptibility to}); AR (GAPO syndrome); AD ({Coronary artery disease, autosomal dominant, 2}); AD (Tooth agenesis, selective, 7)",
ANXA11,"AD (Amyotrophic lateral sclerosis 23); AD (Inclusion body myopathy and brain white matter abnormalities); {Sarcoidosis, susceptibility to, 3}",
ANXA13,"AD (Trichorhinophalangeal syndrome, type II)",
ANXA2,"AR (Miyoshi muscular dystrophy 1); AR (Muscular dystrophy, limb-girdle, autosomal recessive 2); AR (Myopathy, distal, with anterior tibial onset); Opitz GBBB syndrome",
ANXA5,"AD ({Pregnancy loss, recurrent, susceptibility to, 3}); AD (Baraitser-Winter syndrome 2); AD (Deafness, autosomal dominant 20/26); AR ({Hemolytic uremic syndrome, atypical, susceptibility to, 1}); AD ({Macular degeneration, age-related, 4}); AD (Basal laminar drusen); AR (Complement factor H deficiency)",
ANXA8,"AD (Agammaglobulinemia 8A, autosomal dominant); AR (Agammaglobulinemia 8B, autosomal recessive); ?Rolandic epilepsy, impaired intellectual development, and speech dyspraxia",
AOC2,AD (Retinitis pigmentosa 17),
AOPEP,AR (Dystonia 31),
AOX1,"AR (Xanthinuria, type II); AR (Molybdenum cofactor deficiency B)",
AP1B1,"AR (Keratitis-ichthyosis-deafness syndrome, autosomal recessive); AR (Spastic paraplegia 47, autosomal recessive); AD ({Nonsmall cell lung cancer, susceptibility to}); AD (Adenocarcinoma of lung, response to tyrosine kinase inhibitor in); AR (Neonatal nephrocutaneous inflammatory syndrome); AD (Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in); AD ({Renal dysplasia, cystic, susceptibility to}); AR (Hermansky-Pudlak syndrome 2)",
AP1G1,"AD (Usmani-Riazuddin syndrome, autosomal dominant); AR (Usmani-Riazuddin syndrome, autosomal recessive); AR (Bardet-Biedl syndrome 4); AR (Bardet-Biedl syndrome 1); AD (Keratoderma, palmoplantar, punctate type IA); AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1)",
AP1G2,"AD (Okur-Chung neurodevelopmental syndrome); AD (Poirier-Bienvenu neurodevelopmental syndrome); AR (Keratitis-ichthyosis-deafness syndrome, autosomal recessive)",
AP1M1,"AR (Myasthenic syndrome, congenital, 22)",
AP1S1,"AR (MEDNIK syndrome); AR (Arthrogryposis, renal dysfunction, and cholestasis 1); AR (Cholestasis, progressive familial intrahepatic, 12); AR (Keratoderma-ichthyosis-deafness syndrome, autosomal recessive)",
AP1S2,Pettigrew syndrome,
AP1S3,"AD ({Psoriasis 15, pustular, susceptibility to}); AR (Psoriasis 14, pustular)",
AP2A1,"AD (Intellectual developmental disorder, autosomal dominant 56); AR (Developmental and epileptic encephalopathy 21); AR (Congenital myopathy 10A, severe variant); AR (Congenital myopathy 10B, mild variant)",
AP2B1,"AR (Spastic paraplegia 47, autosomal recessive); AR (Dystonia 2, torsion, autosomal recessive); AR (Congenital myopathy 10A, severe variant); AR (Congenital myopathy 10B, mild variant); AR (Arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum); AR (Hermansky-Pudlak syndrome 2); AR (Hypercholesterolemia, familial, 4)",
AP2M1,"AD (Intellectual developmental disorder 60 with seizures); AR (Lethal congenital contractural syndrome 3); AR (Congenital myopathy 10A, severe variant); AR (Congenital myopathy 10B, mild variant)",
AP2S1,"AD (Hypocalciuric hypercalcemia, type III); AD (Hypocalcemia, autosomal dominant 2); AD (Hypocalciuric hypercalcemia, type II)",
